#data_type=2
Copg1	-1.171938303	0.563243332
Atp6v0d1	-2.062863541	0.074956175
Golga7	-1.588132589	0.137307617
Psph	1.976797027	0.026178655
Trappc4	1.058962929	0.846460345
Dpm2	1.2406489	0.352931781
Psmb5	2.675889683	0.016232395
Dhrs1	-2.724700198	0.087122818
Ppm1a	-1.166346645	0.476779204
Psenen	-2.012370714	0.022006508
Anapc1	1.137167826	0.586045865
Mrpl43	1.279394124	0.425978406
Xpo7	1.51344029	0.061458871
Nmt1	-1.044328106	0.882270924
Atg5	1.105185456	0.662504139
Mtif2	1.02251461	0.939818842
Rab14	1.118903774	0.622450715
Psap	-2.398174921	0.024804373
Ube2g1	-1.042169521	0.874875766
Zkscan3	-1.916805331	0.052133199
Mrpl27	1.464102288	0.168704373
Dlg1	1.122061817	0.718460519
Canx	-1.253332181	0.327796231
Derl1	1.012241426	0.974695189
Wars	1.408881704	0.309745422
Psma1	1.678627955	0.044562618
Sar1a	-1.122897962	0.64753846
G3bp2	1.263879503	0.417665942
Golm1	1.726766628	0.049307968
Gps1	1.868427843	0.108515616
Ssr3	-1.992934609	0.024576312
LOC100044627 /// LOC100862455 /// Rpl23	1.027660487	0.907646613
Ctbp1	-1.110737629	0.662624496
Huwe1	-1.129951347	0.649473396
Cdv3	1.521596605	0.113253026
Smim7	-1.297543647	0.249580123
Copa	-1.527389028	0.153069058
Anapc2	-1.084144337	0.720652107
Tug1	-1.197170534	0.404536388
Gbf1	-1.127945443	0.669022192
Cox18	1.238013587	0.312889812
Arfgef1	1.171058173	0.510063772
Zranb1	-1.330964971	0.358291537
Ddx24	-1.082700981	0.750337221
Snrnp27	1.073794601	0.75480978
Tmem129	1.848578504	0.030623934
Rps27 /// Rps27rt	-1.046181562	0.860347168
Rnf220	1.136881892	0.585622421
Sap30l	1.393144084	0.18487981
Armc1	1.71496602	0.061664324
Mad2l1bp	-1.037925239	0.886573878
Naa60	-1.098341819	0.715256069
Vta1	1.138742799	0.573294868
Eif5	-1.511301322	0.084123633
Cdc42	1.027493423	0.917711112
Rrn3	1.579718221	0.138286892
Ankrd17	1.165205896	0.598760383
Apoa1bp	-1.180206727	0.452066858
Pabpn1	1.065174669	0.791407345
Pdpk1	-1.424139598	0.132727028
Cpsf7	-1.194534716	0.411775136
Angel2	-1.041777613	0.855900709
Abhd16a	-2.58701024	0.022024584
Gm8069 /// Tomm5	1.90302619	0.069500266
Rab7	1.170293384	0.539754409
Ddb1	-1.141371281	0.568349559
Pfdn5	-1.368380012	0.237477191
Rfk	1.044620923	0.878664235
Txndc12	-1.016327229	0.96193427
Rbm42	1.20475464	0.467995715
Psmc5	1.922128364	0.056041933
Tmem165	1.673738705	0.078984667
Aup1	-1.315423889	0.19338502
Hdac5	-1.528691694	0.233157795
Pfdn6	2.396284422	0.016900335
Dscr3	-1.132262595	0.615037273
Cic	-1.666707523	0.036020272
Riok3	-1.504792978	0.113001158
Dctn5	-1.045132602	0.870657593
Rragc	-1.058288125	0.817017922
Tbl3	1.826943821	0.191384817
Hp1bp3	-1.573913538	0.160833787
BC031181	-1.140236959	0.542894408
Abhd17a	1.177807572	0.422893138
Polr2f	2.614456814	0.027449264
Ube2v1	-1.653774461	0.077820214
Snapin	-1.021085644	0.953746129
Gbf1	1.114753454	0.621506707
Fryl	-1.10236141	0.73439388
Lamtor5	-1.098264787	0.671362521
Atox1	1.286073071	0.308288087
Mrpl52	-1.143520981	0.650339313
Mrpl52	1.00386754	0.991586493
Tmem234	-1.546074203	0.11218424
Zbed6 /// Zc3h11a	-1.927162473	0.017545377
Hnrnpul2	1.375594209	0.295069208
Sec22b	-1.581590796	0.202287355
Ythdf1	1.247398407	0.528287759
Ube2r2	-1.442165696	0.141843856
Itch	-1.594236703	0.060582171
Wdr6	1.017543545	0.960916012
Ncl	1.236874617	0.345003301
Ncl	1.973062574	0.094410809
Ncl	1.028265445	0.930286171
Elp2	1.107511783	0.753916126
Rbbp7	2.553594706	0.032308525
Aldh3a2	1.061801343	0.81558647
Morf4l2	-1.065015254	0.819393867
Actg1	-1.314160826	0.243431037
Armcx2	-1.628697026	0.101701865
LOC101056240 /// Sumo2	1.125332365	0.556105526
LOC101056240 /// Sumo2	1.691674713	0.050210899
Vps35	1.018368011	0.949017055
Cct8	1.791234904	0.063552925
Ganab	-1.19714892	0.466561064
Ublcp1	1.611840948	0.160107416
Ublcp1	2.100515036	0.128431434
Ublcp1	1.370933902	0.34416797
